Image,X1[mm],X2[mm],ancho campo irradiado[mm],error
1.tif,-1.6099999999999994,-1.3599999999999994,102.97,compruebe referencia
10 DoblePunto.tif,-2.1199999999999974,-0.3500000000000014,102.47,compruebe referencia
11.tif,-1.1099999999999994,-1.8699999999999974,102.97999999999999,compruebe referencia
12.tif,-1.3599999999999994,-1.6099999999999994,102.97,compruebe referencia
13.tif,-1.3599999999999994,-1.6099999999999994,102.97,compruebe referencia
14.tif,-1.1099999999999994,-1.8699999999999974,102.97999999999999,compruebe referencia
15.tif,-1.3599999999999994,-1.8699999999999974,103.22999999999999,compruebe referencia
16.tif,-,-,-,circulo no encontrado
17.tif,-1.6099999999999994,-1.3599999999999994,102.97,compruebe referencia
18.tif,-1.3599999999999994,-1.6099999999999994,102.97,compruebe referencia
19.tif,-1.1099999999999994,-1.8699999999999974,102.97999999999999,compruebe referencia
2.tif,-1.1099999999999994,-1.6099999999999994,102.72,compruebe referencia
20.tif,-1.6099999999999994,-1.3599999999999994,102.97,compruebe referencia
3.tif,-1.1099999999999994,-1.3599999999999994,102.47,compruebe referencia
4.tif,-1.3599999999999994,-1.3599999999999994,102.72,compruebe referencia
5.tif,-1.1099999999999994,-1.6099999999999994,102.72,compruebe referencia
6.tif,-1.1099999999999994,-1.6099999999999994,102.72,compruebe referencia
7.tif,-0.8500000000000014,-1.6099999999999994,102.46000000000001,compruebe referencia
8.tif,-0.3500000000000014,-1.1099999999999994,101.46000000000001,False
9.tif,-0.09000000000000341,-2.6199999999999974,102.71000000000001,compruebe referencia
