Image,A-C[mm],B-D[mm],A-B[mm],C-D[mm],A-X1[mm],A-Y1[mm],B-X1[mm],B_Y1[mm],C-X1[mm],C-Y1[mm],D-X1[mm],D_Y1[mm],Error campo de radiacion,Error distacia bordes
1.tif,0.5699999999999932,-0.9500000000000028,0.060000000000002274,0.060000000000002274,-1.3800000000000008,-1.1300000000000008,-1.3800000000000008,-0.8800000000000008,-0.3699999999999992,-1.6400000000000006,-2.4000000000000004,-0.3699999999999992,0.0,1.0
10.tif,0.5699999999999932,-0.9500000000000028,0.060000000000002274,-0.6899999999999977,-1.3800000000000008,-1.1300000000000008,-1.3800000000000008,-0.6300000000000008,-0.3699999999999992,-1.6400000000000006,-1.6400000000000006,-0.6300000000000008,0.0,1.0
11.tif,0.5699999999999932,-0.9500000000000028,0.060000000000002274,-0.6899999999999977,-1.3800000000000008,-1.1300000000000008,-1.3800000000000008,-0.6300000000000008,-0.3699999999999992,-1.6400000000000006,-1.6400000000000006,-0.6300000000000008,0.0,1.0
12.tif,1.0799999999999983,0.8199999999999932,0.060000000000002274,0.060000000000002274,-1.6400000000000006,-1.1300000000000008,-1.1300000000000008,-1.6400000000000006,-0.6300000000000008,-2.1400000000000006,-2.1400000000000006,-1.3800000000000008,0.0,1.0
13.tif,1.0799999999999983,0.8199999999999932,0.060000000000002274,0.060000000000002274,-1.3800000000000008,-1.1300000000000008,-1.1300000000000008,-1.6400000000000006,-0.3699999999999992,-2.1400000000000006,-2.1400000000000006,-1.3800000000000008,0.0,1.0
14.tif,1.3299999999999983,0.8199999999999932,0.3199999999999932,-0.18999999999999773,-1.8900000000000006,-1.3800000000000008,-0.8800000000000008,-1.6400000000000006,-0.8800000000000008,-2.1400000000000006,-1.3800000000000008,-1.3800000000000008,0.0,1.0
15.tif,1.3299999999999983,0.5699999999999932,0.3199999999999932,-0.18999999999999773,-1.8900000000000006,-1.3800000000000008,-1.1300000000000008,-1.6400000000000006,-0.8800000000000008,-2.1400000000000006,-1.6400000000000006,-1.1300000000000008,0.0,1.0
16.tif,0.5699999999999932,1.3299999999999983,-0.4399999999999977,0.8199999999999932,-1.3800000000000008,-1.1300000000000008,-0.8800000000000008,-2.1400000000000006,-1.3800000000000008,-1.6400000000000006,-2.1400000000000006,-1.3800000000000008,0.0,1.0
17.tif,error,error,error,error,error,error,error,error,error,error,error,error,error encontrando los puntos blancos,error encontrando los puntos blancos
18.tif,error,error,error,error,error,error,error,error,error,error,error,error,error encontrando los puntos blancos,error encontrando los puntos blancos
19.tif,error,error,error,error,error,error,error,error,error,error,error,error,error encontrando los puntos blancos,error encontrando los puntos blancos
2.tif,0.5699999999999932,-0.6899999999999977,0.3199999999999932,0.060000000000002274,-1.3800000000000008,-1.1300000000000008,-1.6400000000000006,-0.8800000000000008,-0.3699999999999992,-1.6400000000000006,-2.4000000000000004,-0.6300000000000008,0,1
20.tif,0.8199999999999932,0.060000000000002274,-0.6899999999999977,1.5799999999999983,-0.3699999999999992,-1.1300000000000008,-1.3800000000000008,-0.3699999999999992,-1.1300000000000008,-1.6400000000000006,-2.9000000000000004,-1.6400000000000006,0,1
21.tif,0.8199999999999932,0.060000000000002274,-0.6899999999999977,1.5799999999999983,-0.3699999999999992,-1.1300000000000008,-1.3800000000000008,-0.3699999999999992,-1.1300000000000008,-1.6400000000000006,-2.9000000000000004,-1.6400000000000006,0,1
3.tif,error,error,error,error,error,error,error,error,error,error,error,error,error encontrando los puntos blancos,error encontrando los puntos blancos
4.tif,0.5699999999999932,-0.4399999999999977,0.3199999999999932,0.3199999999999932,-1.3800000000000008,-1.1300000000000008,-1.3800000000000008,-1.1300000000000008,-0.6300000000000008,-1.6400000000000006,-2.1400000000000006,-0.6300000000000008,0,1
5.tif,error,error,error,error,error,error,error,error,error,error,error,error,error encontrando los puntos blancos,error encontrando los puntos blancos
6.tif,error,error,error,error,error,error,error,error,error,error,error,error,error encontrando los puntos blancos,error encontrando los puntos blancos
7.tif,0.5699999999999932,-0.18999999999999773,0.8199999999999932,0.3199999999999932,-1.6400000000000006,-1.1300000000000008,-1.8900000000000006,-1.1300000000000008,-0.6300000000000008,-1.6400000000000006,-2.4000000000000004,-0.8800000000000008,0,1
8.tif,0.5699999999999932,0.060000000000002274,0.8199999999999932,0.3199999999999932,-1.6400000000000006,-1.1300000000000008,-1.8900000000000006,-1.3800000000000008,-0.6300000000000008,-1.6400000000000006,-2.4000000000000004,-0.8800000000000008,0,1
9.tif,0.5699999999999932,-0.6899999999999977,-0.18999999999999773,-0.6899999999999977,-1.3800000000000008,-1.1300000000000008,-1.1300000000000008,-0.8800000000000008,-0.3699999999999992,-1.6400000000000006,-1.6400000000000006,-0.6300000000000008,0,1
