Image,distance_izq,distance_der,lamina,error
1.tif,12.729999999999997,13.29,25.0,False
1.tif,12.549999999999997,13.11,24.0,False
1.tif,12.36,13.11,23.0,False
1.tif,12.36,13.11,22.0,False
1.tif,12.549999999999997,13.11,21.0,False
1.tif,12.549999999999997,13.29,20.0,False
1.tif,12.36,13.29,19.0,False
1.tif,12.36,13.29,18.0,False
1.tif,12.36,13.479999999999997,17.0,False
1.tif,12.36,13.479999999999997,16.0,False
2.tif,12.729999999999997,13.11,25.0,False
2.tif,12.549999999999997,13.11,24.0,False
2.tif,12.36,13.11,23.0,False
2.tif,12.36,13.11,22.0,False
2.tif,12.549999999999997,13.11,21.0,False
2.tif,12.549999999999997,13.29,20.0,False
2.tif,12.36,13.29,19.0,False
2.tif,12.36,13.29,18.0,False
2.tif,12.36,13.479999999999997,17.0,False
2.tif,12.36,13.479999999999997,16.0,False
